model,submodel,quality,type,stop,diagnosis,fix-scrapping
1000,0.02,5,B,218,262,1
1000,0.02,1,B,1443,2059,0
1000,0.02,5,B,1085,1125,0
1000,0.02,1,A,128,1135,0
1000,0.02,5,B,2460,2493,0
1000,0.02,2,B,3176,3449,0
1000,0.02,0,A,740,1571,0
1000,0.02,3,B,3780,3960,0
1000,0.02,5,B,20729,20794,1
1000,0.02,1,A,258,658,0
1000,0.02,1,B,628,1031,0
1000,0.02,2,B,728,975,0
1000,0.02,3,B,1091,1273,0
1000,0.02,5,B,2047,2091,1
1000,0.02,3,A,4276,4514,0
1000,0.02,1,B,928,1847,0
1000,0.02,3,A,357,715,0
1000,0.02,4,B,3795,3838,0
1000,0.02,3,A,2445,2749,0
1000,0.02,5,A,1346,1374,1
1000,0.02,0,B,2109,3853,0
1000,0.02,0,B,269,1304,0
1000,0.02,3,A,1139,1470,1
1000,0.02,0,A,296,1221,0
1000,0.02,5,A,13010,13079,1
1000,0.02,0,B,227,1872,0
1000,0.02,5,A,15292,15336,1
1000,0.02,1,A,272,707,0
1000,0.02,3,A,2577,2848,0
1000,0.02,0,B,78,1005,1
1000,0.02,1,B,591,1114,0
1000,0.02,4,B,275,370,0
1000,0.02,3,A,273,535,0
1000,0.02,2,A,615,988,1
1000,0.02,1,B,369,1156,0
1000,0.02,5,B,5876,5903,0
1000,0.02,0,B,589,2310,1
1000,0.02,1,B,482,921,0
1000,0.02,1,B,1544,1924,0
1000,0.02,1,A,782,1309,0
1000,0.02,5,B,1847,1880,1
1000,0.02,4,A,12486,12593,1
1000,0.02,0,B,22,1463,0
1000,0.02,1,B,1560,2203,0
1000,0.02,5,A,1769,1838,0
1000,0.02,0,A,71,1736,0
1000,0.02,1,A,606,1649,0
1000,0.02,0,A,954,2464,0
1000,0.02,5,B,22135,22160,1
1000,0.02,2,B,2650,3039,0
1000,0.02,2,A,679,1024,0
1000,0.02,5,B,9459,9526,0
1000,0.02,4,B,1249,1306,0
1000,0.02,3,A,1643,1878,0
1000,0.02,1,B,672,1023,0
1000,0.02,4,B,11344,11407,1
1000,0.02,1,B,3272,3978,0
1000,0.02,1,B,29,642,0
1000,0.02,0,B,900,2141,1
1000,0.02,1,A,1588,2024,0
1000,0.02,2,A,2355,2595,0
1000,0.02,3,B,13398,13614,0
1000,0.02,5,B,1178,1207,0
1000,0.02,0,A,50,974,0
1000,0.02,2,A,3493,3952,1
1000,0.02,4,A,7756,7806,0
1000,0.02,3,A,461,789,0
1000,0.02,1,B,1910,2384,0
1000,0.02,1,B,98,595,0
1000,0.02,2,A,1107,1565,0
1000,0.02,4,A,10023,10084,1
1000,0.02,0,A,241,1555,0
1000,0.02,0,B,186,1170,0
1000,0.02,5,A,27919,27993,1
1000,0.02,0,A,130,1892,0
1000,0.02,4,A,11976,12087,0
1000,0.02,3,B,8933,9171,1
1000,0.02,1,B,941,1809,0
1000,0.02,2,A,1655,2227,0
1000,0.02,2,B,1778,2293,0
1000,0.02,3,A,1292,1467,1
1000,0.02,1,B,112,463,0
1000,0.02,1,A,964,1714,0
1000,0.02,3,B,3361,3609,0
1000,0.02,5,A,8819,8892,0
1000,0.02,0,A,136,1874,0
1000,0.02,5,B,4614,4642,1
1000,0.02,0,B,642,1835,0
1000,0.02,3,B,1444,1734,0
1000,0.02,4,B,19296,19360,0
1000,0.02,5,A,21610,21672,1
1000,0.02,2,A,1576,1954,0
1000,0.02,5,B,15703,15759,0
1000,0.02,1,A,236,1209,0
1000,0.02,1,B,693,1728,0
1000,0.02,4,A,260,340,1
1000,0.02,1,A,346,1351,0
1000,0.02,4,B,1263,1359,0
1000,0.02,5,B,8890,8933,1
1000,0.02,5,B,6135,6178,0
1000,0.02,4,B,616,670,0
1000,0.02,2,B,2039,2579,0
1000,0.02,0,A,2679,3873,0
1000,0.02,1,A,2076,2917,0
1000,0.02,3,B,4732,4947,0
1000,0.02,5,A,7508,7571,1
1000,0.02,1,B,335,796,0
1000,0.02,4,A,2215,2265,0
1000,0.02,3,B,1118,1368,0
1000,0.02,0,B,441,2072,0
1000,0.02,5,B,8284,8344,1
1000,0.02,4,B,1764,1857,1
1000,0.02,1,A,220,846,0
1000,0.02,4,B,6541,6599,0
1000,0.02,5,B,39,67,1
1000,0.02,3,A,1832,2012,0
1000,0.02,2,A,1306,1550,0
1000,0.02,2,A,1811,2427,0
1000,0.02,2,B,7145,7740,1
1000,0.02,4,A,7450,7534,0
1000,0.02,2,B,232,626,0
1000,0.02,3,A,4868,5219,0
1000,0.02,4,A,35957,36008,0
1000,0.02,3,A,1409,1805,0
1000,0.02,5,A,89,145,0
1000,0.02,1,A,35,836,0
1000,0.02,5,B,7549,7576,1
1000,0.02,2,A,952,1587,0
1000,0.02,1,A,422,1614,0
1000,0.02,1,A,1618,2202,0
1000,0.02,3,B,6410,6609,1
1000,0.02,5,A,12681,12727,1
1000,0.02,1,B,291,1228,0
1000,0.02,3,B,9889,10067,0
1000,0.02,3,B,214,505,1
1000,0.02,2,B,10830,11384,0
1000,0.02,0,A,1026,2739,0
1000,0.02,0,B,602,2095,0
1000,0.02,4,A,2120,2245,0
1000,0.02,1,A,624,1057,0
1000,0.02,1,B,3789,4806,0
1000,0.02,1,A,296,842,0
1000,0.02,3,B,8387,8595,1
1000,0.02,5,A,2469,2496,1
1000,0.02,5,B,1785,1838,0
1000,0.02,4,B,1935,2045,0
1000,0.02,0,B,32,846,0
1000,0.02,1,A,266,1132,0
1000,0.02,4,A,972,1028,0
1000,0.02,2,A,2354,2878,0
1000,0.02,2,B,3702,4062,0
1000,0.02,1,B,230,610,0
1000,0.02,3,A,1247,1525,0
1000,0.02,1,A,857,1578,0
1000,0.02,2,B,1210,1669,0
1000,0.02,0,B,1077,2358,0
1000,0.02,5,B,12516,12570,0
1000,0.02,4,B,12662,12719,1
1000,0.02,0,B,95,1310,0
1000,0.02,3,A,1713,2099,0
1000,0.02,1,A,715,1314,0
1000,0.02,1,A,589,1164,0
1000,0.02,3,B,2903,3035,0
1000,0.02,3,A,399,787,0
1000,0.02,5,B,3454,3520,0
1000,0.02,3,B,5397,5518,0
1000,0.02,2,B,1993,2390,0
1000,0.02,4,B,4788,4856,0
1000,0.02,4,B,3785,3887,0
1000,0.02,3,A,201,394,0
1000,0.02,2,A,202,887,0
1000,0.02,5,A,4548,4585,1
1000,0.02,5,A,4477,4533,1
1000,0.02,1,B,182,1135,0
1000,0.02,2,A,3337,3599,0
1000,0.02,5,B,26747,26777,0
1000,0.02,2,B,2237,2816,0
1000,0.02,4,B,3088,3186,1
1000,0.02,1,A,1615,2331,0
1000,0.02,3,A,2880,3074,0
1000,0.02,3,A,4819,4994,0
1000,0.02,3,B,1472,1733,0
1000,0.02,4,B,6185,6249,0
1000,0.02,4,B,2466,2580,0
1000,0.02,3,A,2488,2870,1
1000,0.02,4,A,4263,4354,1
1000,0.02,2,B,1401,1689,0
1000,0.02,0,B,503,2239,0
1000,0.02,4,A,6561,6621,0
1000,0.02,2,A,4616,5096,0
1000,0.02,0,B,268,1807,0
1000,0.02,1,B,652,1323,0
1000,0.02,0,A,355,1625,0
1000,0.02,2,A,558,905,0
1000,0.02,2,A,126,535,0
1000,0.02,4,B,1252,1349,1
1000,0.02,0,B,2344,3575,0
1000,0.02,2,A,22,717,0
1000,0.02,4,B,5014,5117,1
1000,0.02,5,A,4154,4191,1
1000,0.02,0,A,110,1335,0
1000,0.02,3,B,1643,1765,0
1000,0.02,3,A,1637,1866,0
1000,0.02,1,B,767,1795,0
1000,0.02,2,B,690,1048,1
1000,0.02,1,A,971,1414,0
1000,0.02,0,A,977,1934,0
1000,0.02,5,B,1675,1736,1
1000,0.02,5,A,330,365,0
1000,0.02,3,A,3786,3986,0
1000,0.02,4,B,17087,17159,0
1000,0.02,2,A,379,784,0
1000,0.02,1,A,416,1204,0
1000,0.02,0,A,460,1824,0
1000,0.02,1,A,520,1492,0
1000,0.02,5,A,8529,8561,0
1000,0.02,1,B,179,684,1
1000,0.02,1,B,1038,1845,0
1000,0.02,3,A,2848,3058,1
1000,0.02,3,A,53,390,0
1000,0.02,3,A,899,1273,0
1000,0.02,4,B,221,311,0
1000,0.02,0,B,292,1755,0
1000,0.02,4,A,13542,13604,0
1000,0.02,1,A,441,1445,0
1000,0.02,0,A,377,1650,0
1000,0.02,2,B,1037,1382,0
1000,0.02,3,A,9102,9487,0
1000,0.02,4,A,3726,3835,0
1000,0.02,1,A,529,1669,0
1000,0.02,5,B,11091,11143,0
1000,0.02,2,A,1411,2075,0
1000,0.02,5,A,16984,17016,0
1000,0.02,0,A,393,1247,0
1000,0.02,1,A,219,1346,0
1000,0.02,2,B,476,851,0
1000,0.02,3,A,9243,9414,0
1000,0.02,5,A,14283,14324,1
1000,0.02,0,B,410,1965,0
1000,0.02,5,B,16155,16223,0
1000,0.02,3,B,1338,1470,0
1000,0.02,0,B,690,1472,0
1000,0.02,3,A,885,1223,0
1000,0.02,5,A,17259,17326,1
1000,0.02,5,A,19308,19347,1
1000,0.02,1,A,119,1284,0
1000,0.02,1,B,187,1202,0
1000,0.02,5,B,5102,5163,1
1000,0.02,1,B,531,1002,0
1000,0.02,1,A,1640,2444,0
1000,0.02,5,B,1467,1498,1
1000,0.02,5,A,26289,26339,1
1000,0.02,1,A,180,597,0
1000,0.02,0,B,279,1765,0
1000,0.02,3,A,4191,4574,1
1000,0.02,1,A,368,1416,0
1000,0.02,3,B,2442,2546,1
1000,0.02,4,A,1655,1802,0
1000,0.02,4,B,11138,11200,0
1000,0.02,0,A,834,2452,0
1000,0.02,1,B,1491,2161,0
1000,0.02,0,B,365,1341,0
1000,0.02,1,A,116,940,0
1000,0.02,2,A,1182,1442,0
1000,0.02,4,A,2399,2505,0
1000,0.02,5,B,4107,4143,1
1000,0.02,4,B,9563,9636,0
1000,0.02,2,A,1076,1531,0
1000,0.02,3,B,47,286,0
1000,0.02,4,A,10543,10606,1
1000,0.02,1,A,646,1365,0
1000,0.02,1,A,523,1716,0
1000,0.02,5,A,18245,18283,0
1000,0.02,5,B,6266,6305,1
1000,0.02,3,B,1784,1897,1
1000,0.02,5,B,17079,17115,0
1000,0.02,2,A,419,1053,0
1000,0.02,3,B,459,600,0
1000,0.02,0,A,218,1720,0
1000,0.02,5,A,2517,2561,1
1000,0.02,2,B,1322,1595,0
1000,0.02,2,B,7827,8280,0
1000,0.02,1,B,239,780,0
1000,0.02,2,B,1069,1370,0
1000,0.02,2,A,695,963,0
1000,0.02,4,A,1464,1540,0
1000,0.02,0,A,729,1444,0
1000,0.02,3,B,257,489,0
1000,0.02,2,A,375,837,0
1000,0.02,0,A,496,1195,0
1000,0.02,5,B,7848,7905,0
1000,0.02,5,B,15195,15229,1
1000,0.02,1,B,572,1399,0
1000,0.02,1,A,455,1600,0
1000,0.02,2,A,301,563,0
1000,0.02,5,A,2224,2249,1
1000,0.02,5,A,22728,22769,0
1000,0.02,4,B,6915,7003,1
1000,0.02,4,B,8850,8944,0
1000,0.02,2,B,1596,2080,0
1000,0.02,0,A,1538,3179,0
1000,0.02,4,B,5433,5546,0
1000,0.02,4,B,2119,2233,0
1000,0.02,2,A,1206,1465,0
1000,0.02,1,B,2276,2773,0
1000,0.02,5,A,8543,8593,0
1000,0.02,5,B,2064,2094,1
1000,0.02,3,B,10660,10844,0
1000,0.02,2,B,380,727,0
1000,0.02,2,A,430,941,0
1000,0.02,1,A,865,1574,0
1000,0.02,0,B,319,1465,0
1000,0.02,2,B,1142,1656,0
1000,0.02,0,A,156,1180,0
1000,0.02,1,B,1647,2394,0
1000,0.02,4,A,1220,1359,1
1000,0.02,2,B,110,585,0
1000,0.02,1,B,40,886,1
1000,0.02,4,B,2077,2163,1
1000,0.02,2,A,1352,1707,0
1000,0.02,3,A,271,502,0
1000,0.02,5,A,2241,2273,1
1000,0.02,4,B,3078,3190,0
1000,0.02,5,A,13446,13510,0
1000,0.02,2,A,503,909,0
1000,0.02,5,A,3430,3479,1
1000,0.02,4,B,2557,2648,1
1000,0.02,0,A,366,1530,0
1000,0.02,2,B,1912,2471,0
1000,0.02,2,B,4664,5063,0
1000,0.02,4,B,4441,4491,0
1000,0.02,1,A,819,1698,0
1000,0.02,5,A,28138,28191,1
1000,0.02,1,B,778,1215,0
1000,0.02,4,B,6227,6291,0
1000,0.02,2,B,3752,4029,1
1000,0.02,2,B,13086,13432,0
1000,0.02,2,A,140,452,0
1000,0.02,3,A,1057,1213,0
1000,0.02,2,B,225,460,0
1000,0.02,4,A,7548,7628,0
1000,0.02,3,A,43,446,0
1000,0.02,4,B,23378,23460,1
1000,0.02,2,B,5741,6057,0
1000,0.02,3,A,852,1128,0
1000,0.02,5,A,3943,3996,1
1000,0.02,0,B,170,1399,0
1000,0.02,2,A,1591,1927,0
1000,0.02,1,A,1658,2780,0
1000,0.02,4,A,68,133,0
1000,0.02,1,B,194,1017,0
1000,0.02,2,A,112,480,1
1000,0.02,3,B,2904,3164,0
1000,0.02,4,A,2760,2893,0
1000,0.02,2,B,2395,2922,1
1000,0.02,0,B,12,1724,0
1000,0.02,1,B,1224,2125,0
1000,0.02,2,B,13,391,0
1000,0.02,0,A,244,1169,0
1000,0.02,3,B,8557,8788,0
1000,0.02,3,B,8383,8667,0
1000,0.02,5,A,56584,56622,0
1000,0.02,4,B,1243,1311,0
1000,0.02,2,A,1886,2571,0
1000,0.02,2,A,304,740,1
1000,0.02,4,B,3084,3131,1
1000,0.02,3,B,1150,1311,0
1000,0.02,3,B,13520,13810,0
1000,0.02,0,B,267,2017,0
1000,0.02,0,A,1577,2254,0
1000,0.02,4,A,7797,7894,1
1000,0.02,0,A,303,1523,0
1000,0.02,5,A,17014,17079,1
1000,0.02,5,B,6579,6612,0
1000,0.02,0,A,694,2357,0
1000,0.02,4,B,10048,10110,0
1000,0.02,4,A,1251,1348,0
1000,0.02,2,B,1783,2364,0
1000,0.02,1,B,479,1446,0
1000,0.02,5,B,26328,26353,0
1000,0.02,2,B,418,750,0
1000,0.02,4,B,4518,4618,0
1000,0.02,2,A,443,754,0
1000,0.02,5,B,17640,17674,0
1000,0.02,1,A,204,827,0
1000,0.02,4,A,3731,3790,0
1000,0.02,5,B,3626,3676,0
1000,0.02,0,B,375,1737,0
1000,0.02,4,B,14754,14859,0
1000,0.02,0,B,22,930,0
1000,0.02,5,A,61,122,1
1000,0.02,0,A,131,1693,1
1000,0.02,4,A,2179,2294,0
1000,0.02,5,A,218,248,0
1000,0.02,0,B,90,1695,0
1000,0.02,2,B,5486,6028,0
1000,0.02,5,A,9193,9239,1
1000,0.02,3,B,2166,2341,0
1000,0.02,0,B,961,2124,1
1000,0.02,5,A,33344,33418,1
1000,0.02,5,B,2975,3007,1
1000,0.02,2,A,776,1330,0
1000,0.02,4,B,16628,16739,0
1000,0.02,3,B,3488,3765,0
1000,0.02,4,A,1146,1226,0
1000,0.02,0,B,50,770,0
1000,0.02,4,A,3220,3283,0
1000,0.02,4,B,636,755,1
1000,0.02,3,B,814,991,1
1000,0.02,4,B,17086,17128,1
1000,0.02,3,B,6375,6572,0
1000,0.02,1,A,113,829,0
1000,0.02,5,A,51205,51246,0
1000,0.02,1,A,9,1132,0
1000,0.02,4,B,9215,9308,0
1000,0.02,5,B,1943,1990,0
1000,0.02,3,A,652,880,0
1000,0.02,3,A,3705,4055,0
1000,0.02,5,B,7172,7198,1
1000,0.02,5,B,14429,14460,0
1000,0.02,1,B,761,1224,0
1000,0.02,4,B,6208,6276,0
1000,0.02,4,A,3783,3900,0
1000,0.02,1,A,434,1392,0
1000,0.02,3,B,3331,3507,0
1000,0.02,5,B,6164,6222,1
1000,0.02,3,A,634,967,0
1000,0.02,2,B,2048,2309,0
1000,0.02,4,A,7698,7788,1
1000,0.02,1,B,316,832,0
1000,0.02,1,B,2785,3532,1
1000,0.02,1,A,206,1128,0
1000,0.02,3,A,1313,1522,0
1000,0.02,0,B,297,1891,0
1000,0.02,4,B,1944,2010,1
1000,0.02,2,B,1003,1508,0
1000,0.02,1,B,2258,2696,0
1000,0.02,2,B,1546,2061,0
1000,0.02,3,B,7320,7544,1
1000,0.02,4,B,5946,6051,0
1000,0.02,5,A,16783,16821,1
1000,0.02,5,A,18488,18545,0
1000,0.02,5,B,3890,3949,0
1000,0.02,4,B,629,718,0
1000,0.02,2,A,382,1085,0
1000,0.02,4,A,3211,3265,0
1000,0.02,5,A,9390,9417,1
1000,0.02,0,B,782,1580,0
1000,0.02,0,B,76,767,0
1000,0.02,4,B,3060,3102,0
1000,0.02,5,A,1482,1527,0
1000,0.02,3,A,5719,6125,0
1000,0.02,1,B,287,908,0
1000,0.02,2,B,2732,2980,1
1000,0.02,4,B,2137,2230,0
1000,0.02,0,A,181,1772,1
1000,0.02,5,A,8759,8807,1
1000,0.02,0,B,222,1586,0
1000,0.02,2,A,1279,1517,1
1000,0.02,2,B,6782,7143,0
1000,0.02,2,A,2429,3012,0
1000,0.02,5,B,18979,19048,1
1000,0.02,0,A,566,2310,0
1000,0.02,5,B,7608,7634,1
1000,0.02,2,B,1774,2127,0
1000,0.02,3,B,4706,4968,0
1000,0.02,5,A,8980,9041,1
1000,0.02,4,B,13960,14079,0
1000,0.02,0,A,708,1449,0
1000,0.02,3,B,1962,2245,0
1000,0.02,4,B,10254,10338,0
1000,0.02,5,B,601,633,1
1000,0.02,4,A,3975,4036,1
1000,0.02,4,B,1779,1869,0
1000,0.02,0,A,988,1776,0
1000,0.02,3,B,2320,2612,0
1000,0.02,0,B,378,1320,0
1000,0.02,2,B,740,1263,1
1000,0.02,0,A,433,1298,0
1000,0.02,1,A,891,1912,0
1000,0.02,1,A,1295,1974,0
1000,0.02,5,A,15138,15184,1
1000,0.02,4,A,1464,1573,0
1000,0.02,2,A,806,1275,0
1000,0.02,3,B,14350,14470,1
1000,0.02,5,B,29477,29527,1
1000,0.02,1,B,2096,2511,1
1000,0.02,0,A,41,1599,0
1000,0.02,0,A,714,2026,0
1000,0.02,0,A,155,1036,0
1000,0.02,2,A,1211,1787,0
1000,0.02,2,A,278,897,0
1000,0.02,2,A,2119,2720,0
1000,0.02,1,A,1279,1773,0
1000,0.02,1,B,320,1142,1
1000,0.02,1,A,1735,2260,0
1000,0.02,3,A,470,733,0
1000,0.02,0,B,246,1038,0
1000,0.02,1,B,844,1428,0
1000,0.02,4,A,1419,1559,0
1000,0.02,2,A,3499,4162,0
1000,0.02,5,B,14111,14146,0
1000,0.02,0,B,585,1687,0
1000,0.02,0,A,327,1913,0
1000,0.02,4,B,5020,5091,1
1000,0.02,0,A,773,2429,0
1000,0.02,3,A,2831,3153,0
1000,0.02,3,B,23469,23696,0
1000,0.02,5,A,25084,25157,0
1000,0.02,2,A,226,900,0
1000,0.02,4,A,5714,5785,0
1000,0.02,1,B,1980,2673,0
1000,0.02,0,B,548,2109,0
1000,0.02,1,B,389,1269,0
1000,0.02,2,A,1321,1663,1
1000,0.02,5,A,33058,33109,0
1000,0.02,5,A,43906,43933,0
1000,0.02,3,A,1340,1502,0
1000,0.02,5,B,268,318,0
1000,0.02,5,B,4010,4065,1
1000,0.02,4,A,14785,14864,0
1000,0.02,1,A,1012,1701,0
1000,0.02,5,A,7872,7920,1
1000,0.02,1,B,2313,3152,0
1000,0.02,3,A,3400,3586,0
1000,0.02,5,B,2229,2267,1
1000,0.02,0,A,482,2157,0
1000,0.02,4,B,2581,2626,0
1000,0.02,2,B,1723,2074,0
1000,0.02,0,B,1044,1986,0
1000,0.02,3,B,3493,3674,0
1000,0.02,3,B,5309,5415,0
1000,0.02,2,A,86,331,0
1000,0.02,4,A,8227,8353,0
1000,0.02,3,A,683,887,0
1000,0.02,4,A,7044,7153,0
1000,0.02,1,B,3401,4300,0
1000,0.02,5,A,1349,1378,1
1000,0.02,2,A,2678,3123,0
1000,0.02,4,B,303,413,0
1000,0.02,0,B,25,1239,0
1000,0.02,4,B,596,649,0
1000,0.02,1,B,876,1297,0
1000,0.02,0,B,98,1673,0
1000,0.02,2,B,775,1192,0
1000,0.02,3,B,1490,1635,0
1000,0.02,3,B,9775,9976,0
1000,0.02,5,B,1201,1258,1
1000,0.02,4,B,34721,34829,1
1000,0.02,4,B,2467,2577,0
1000,0.02,5,A,9600,9662,1
1000,0.02,2,B,86,317,0
1000,0.02,3,A,2674,3075,0
1000,0.02,5,A,7879,7916,0
1000,0.02,1,A,2074,2725,0
1000,0.02,0,A,77,1067,0
1000,0.02,1,A,247,806,0
1000,0.02,3,B,14467,14572,0
1000,0.02,1,A,208,1119,0
1000,0.02,3,B,9604,9729,0
1000,0.02,2,A,616,1238,0
1000,0.02,5,A,3638,3706,0
1000,0.02,3,B,5434,5612,0
1000,0.02,1,B,187,799,0
1000,0.02,1,B,1537,2265,0
1000,0.02,3,B,18033,18166,0
1000,0.02,4,A,3144,3271,1
1000,0.02,2,B,4026,4268,1
1000,0.02,4,B,3965,4068,0
1000,0.02,2,B,2147,2428,0
1000,0.02,5,A,7481,7517,0
1000,0.02,4,B,2245,2293,0
1000,0.02,0,A,994,2698,0
1000,0.02,4,A,153,271,0
1000,0.02,1,A,1554,2029,0
1000,0.02,0,B,2027,2697,0
1000,0.02,3,A,1411,1806,0
1000,0.02,0,A,2667,4057,0
1000,0.02,5,A,7742,7780,1
1000,0.02,4,B,23400,23507,1
1000,0.02,1,A,2347,3456,0
1000,0.02,0,A,757,2314,0
1000,0.02,4,B,7216,7332,1
1000,0.02,5,A,2949,2989,1
1000,0.02,4,A,6,126,0
1000,0.02,3,B,348,481,1
1000,0.02,3,B,292,507,1
1000,0.02,4,A,20774,20860,0
1000,0.02,0,A,344,1129,0
1000,0.02,0,A,309,1266,0
1000,0.02,4,A,3591,3690,1
1000,0.02,2,B,2572,2855,0
1000,0.02,5,A,17375,17425,0
1000,0.02,0,B,58,1036,0
1000,0.02,2,A,368,1029,0
1000,0.02,5,B,67,138,0
1000,0.02,1,A,22,559,0
1000,0.02,1,A,269,788,0
1000,0.02,0,A,2047,3316,0
1000,0.02,4,B,4467,4515,0
1000,0.02,3,B,4,140,0
1000,0.02,4,B,5061,5166,1
1000,0.02,1,A,855,1348,0
1000,0.02,4,B,15022,15124,0
1000,0.02,5,A,5384,5456,1
1000,0.02,2,B,3189,3706,1
1000,0.02,2,A,195,707,0
1000,0.02,3,A,3369,3552,0
1000,0.02,2,A,4431,5130,0
1000,0.02,3,B,66,255,0
1000,0.02,2,A,57,310,0
1000,0.02,4,B,3088,3174,0
1000,0.02,4,A,402,517,0
1000,0.02,5,B,3206,3267,0
1000,0.02,5,B,3654,3681,0
1000,0.02,2,B,257,750,0
1000,0.02,0,A,1051,1856,0
1000,0.02,3,A,699,1063,0
1000,0.02,5,B,14616,14671,0
1000,0.02,4,A,3570,3693,0
1000,0.02,4,A,5539,5618,0
1000,0.02,0,A,39,986,0
1000,0.02,5,A,2141,2178,0
1000,0.02,4,A,10933,11053,0
1000,0.02,2,B,980,1418,0
1000,0.02,1,B,364,1301,0
1000,0.02,5,B,4429,4466,0
1000,0.02,1,A,1069,2136,0
1000,0.02,2,A,448,803,0
1000,0.02,5,B,15014,15087,1
1000,0.02,4,B,5508,5586,0
1000,0.02,3,B,7446,7676,1
1000,0.02,3,A,106,274,0
1000,0.02,5,A,1805,1849,1
1000,0.02,0,B,166,1358,0
1000,0.02,4,A,6712,6773,1
1000,0.02,5,B,1896,1922,0
1000,0.02,4,A,8934,9033,0
1000,0.02,1,A,549,1589,0
1000,0.02,2,B,162,666,0
1000,0.02,1,A,87,784,0
1000,0.02,0,B,495,1385,0
1000,0.02,1,A,327,1156,0
1000,0.02,1,A,231,1258,0
1000,0.02,2,A,78,602,0
1000,0.02,5,B,3946,3990,1
1000,0.02,5,A,1118,1150,1
1000,0.02,2,B,3499,4013,0
1000,0.02,5,B,1049,1107,0
1000,0.02,3,B,2450,2670,0
1000,0.02,5,B,964,995,0
1000,0.02,1,A,874,1876,0
1000,0.02,4,B,5176,5225,0
1000,0.02,2,B,2597,2898,1
1000,0.02,5,B,3153,3184,0
1000,0.02,5,B,11850,11883,0
1000,0.02,5,B,13077,13151,0
1000,0.02,5,A,12625,12699,0
1000,0.02,4,B,370,432,0
1000,0.02,3,A,5658,5912,0
1000,0.02,2,A,3518,3833,0
1000,0.02,5,B,12274,12300,0
1000,0.02,2,A,377,778,0
1000,0.02,2,B,683,939,0
1000,0.02,0,A,552,1662,0
1000,0.02,2,B,2544,2991,0
1000,0.02,5,A,39982,40043,0
1000,0.02,1,B,5602,6002,0
1000,0.02,4,B,1614,1679,0
