HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00068	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	paradoxa	Paradox frog												11	451	captivity	small	acceptable						451
00069	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	baudinii	Mexican treefrog					2480							6.3	485	captivity	small	acceptable						485,749
00070	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	fodiens	Lowland burrowing treefrog												5.1	485	captivity	small	acceptable						485
00071	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	phaeota	Masked treefrog					2000							4.1	485	captivity	small	acceptable						485,749
00072	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	venulosus	Marbled treefrog												10.5	451	captivity	small	acceptable						451
00073	Animalia	Chordata	Amphibia	Anura	Leiopelmatidae	Ascaphus	truei	Coastal tailed frog			32		62							14	525	wild	medium	acceptable						525,749
00074	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	pentadactylus	Tungara frog												18.8	451	captivity	medium	acceptable						451
00075	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	aurantiaca	Golden mantella			14		40							10.9	451	captivity	large	acceptable						451,749
00076	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	expectata	Blue-legged mantella	365	365										3	1060	wild	small	questionable						1060
00077	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	carolinensis	Eastern narrow-mouthed toad	547	365	1		722							6.8	485	captivity	small	acceptable						485,528,749
00078	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	pulchra	Malaysian narrowmouth toad												11	485	captivity	medium	acceptable						485
00079	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	ornata	Ornate narrow-mouthed frog	547	182						1125				5	964	wild	small	acceptable						964
00080	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	bifasciatus	Red-banded frog												10.3	451	captivity	medium	acceptable						451
00081	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	gottlebei	Rainbow frog	365	365										2	1060	wild	small	questionable						1060
00082	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus	Common Eurasian spadefoot toad			8		1740							11	485	captivity	medium	acceptable						485,749
00083	Animalia	Chordata	Amphibia	Anura	Petropedetidae	Conraua	goliath	Goliath frog												5.9	451	captivity	small	acceptable						451,749
00084	Animalia	Chordata	Amphibia	Anura	Pipidae	Pipa	pipa	Surinam toad												7.7	485	captivity	medium	acceptable						485,749
00085	Animalia	Chordata	Amphibia	Anura	Pipidae	Xenopus	laevis	African clawed frog	183		2							130		30.3	451	captivity	large	acceptable			0.012	63.6	288	10,37,196,451,526,607,749,1255
00086	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Pyxicephalus	adspersus	African bullfrog												45	451	captivity	medium	acceptable						451,749
00087	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna	delalandii	Cape sand frog												11.3	451	captivity	small	acceptable						451
00088	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	catesbeianus	American bullfrog	1277	730	4							54.4		16	485	captivity	medium	acceptable			0.0134	51.2	288	2,37,485,526,528,749
00089	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	clamitans	Green frog	730	730			4000							10	528	captivity	medium	acceptable						528,749
00090	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	pipiens	Northern leopard frog	730	365			4146					29.0222		9	525	wild	medium	acceptable			0.00576	21.6	289.78	37,42,268,525,528,749
00091	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	septentrionalis	Mink frog	730	547			2250							6	528	wild	medium	acceptable						528,749
00092	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	sylvaticus	Wood frog	912	547			900					7.88		5		unknown	medium	questionable			0.00416	7.8	289.8	37,43,289,340,528,749
00093	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	virgatipes	Carpenter frog		730										6.2	485	captivity	small	acceptable						485,749
00094	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	lessonae	Pool frog					2420							6	525	wild	medium	acceptable						525,749
00095	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	nigromaculatus	Black-spotted frog	730	730			2800							15	651	wild	medium	acceptable						651,749
00096	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	perezi	Italian green frog	912	912	6									6.8	650	captivity	small	acceptable						525,650,749
00097	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	ridibundus	Marsh frog	1460	1095			6835							11	525	wild	medium	acceptable						525,749,895
00098	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	amurensis	Siberian wood frog	1640	1640			2125							9	525	wild	medium	acceptable						525,749
00099	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	arvalis	Moor frog					1750							11	525	wild	medium	acceptable						525,749
00100	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	aurora	California red-legged frog												15	503	wild	medium	acceptable						503,1150
00101	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	esculenta	Edible frog												12	525	wild	medium	acceptable						525
00102	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	iberica	Iberian frog					318							8	525	wild	medium	acceptable						525,749
00103	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	macrocnemis	Long-legged wood frog	912	912			2040							5	525	wild	medium	acceptable						525,749
00104	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	temporaria	European frog	1095	1095			2585							27		unknown	medium	acceptable						25,525,526,749,1118
00105	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	couchii	Couch's spadefoot					3000							6.7	485	captivity	small	questionable						458,485,749
00106	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	holbrookii	Eastern spadefoot	730	730	8		3872							12.3	485	captivity	small	acceptable						485,528,749
00107	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	intermontana	Great Basin spadefoot			3		676							20	437	wild	medium	acceptable						437,749
00108	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	gracile	Northwestern salamander	730	730			150							10.2	485	captivity	small	acceptable						485,749
00109	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mabeei	Mabee's salamander												8.8	485	captivity	small	acceptable						485
00110	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	macrodactylum	Long-toed salamander	730	730	40		250							10	437	wild	medium	acceptable						437,749
00111	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	maculatum	Spotted salamander	1095	730			125					12.84		32		unknown	medium	acceptable			0.005	12.8	290	37,528,749
00112	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mexicanum	Axolotl	548	548	18									17	451	captivity	large	acceptable						449,451,749,796,843
00113	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	opacum	Marbled salamander	1296	1113			100							11.3	485	captivity	small	acceptable						485,528,749
00114	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	rosaceum	Chihuahuan mole salamander												14.4	451	captivity	small	acceptable						451
00115	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	talpoideum	Mole salamander	730	730			350							9	749	unknown	medium	acceptable						528,749
00116	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	texanum	Small-mouthed salamander			35		625							13.8	485	captivity	tiny	acceptable						485,749
00117	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	tigrinum	Tiger salamander	1460	1460	28		37					9.402		25	485	captivity	medium	acceptable			0.00196	3.21	291	27,37,440,485,1143
00118	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Dicamptodon	ensatus	California giant salamander			150		85							16.9	451	captivity	tiny	acceptable						451,749
00119	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	means	Two-toed amphiuma	1460	1095	150		200					200.967		27	485	captivity	small	acceptable			0.00904	199	288	37,485,749
00120	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	tridactylum	Three-toed amphiuma			135		200							15.9	485	captivity	small	acceptable						485,749
00121	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Chinese giant salamander			55		500							19.9	485	captivity	small	questionable						485,749
00122	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	japonicus	Japanese giant salamander	1825	1825	60		500							55	485	captivity	small	acceptable						2,485,749
00123	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Cryptobranchus	alleganiensis	Hellbender	1825	1825	72		275					358.1		29	528	wild	medium	acceptable			0.0253	358	288	37,440,528
00124	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	boulengeri	Boulenger's oriental salamander					32							11.9	485	captivity	small	acceptable						230,231,485,749
00125	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	leechii	Chinese salamander												7.1	451	captivity	small	acceptable						451
00126	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	nebulosus	Clouded salamander												14.2	485	captivity	medium	acceptable						485
00127	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	retardatus	Japanese salamander												12.9	485	captivity	small	acceptable						485
00128	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	fischeri	Long-tailed clawed salamander												17	525	wild	medium	acceptable						525
00129	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	japonicus	Japanese clawed salamander					17							14.2	451	captivity	small	acceptable						451,749
00130	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Paradactylodon	mustersi	Afghanistan salamander												11	451	captivity	small	acceptable						451
00131	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Salamandrella	keyserlingii	Siberian salamander			23		70							8	525	wild	medium	acceptable						525,749
00132	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	aeneus	Green salamander	912	912	82		21	2								unknown	tiny	low						451,528,749
00133	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	lugubris	Arboreal salamander	1095	1095			14.5									unknown	small	low						485,749
00134	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	dofleini	Giant palm salamander												6.9	451	captivity	small	acceptable						451
00135	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	mexicana	Palm salamander												12.2	451	captivity	small	acceptable						451
00136	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	monticola	Seal salamander	1642	1277	45		25							17.7	485	captivity	tiny	acceptable						485,528,749
00137	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	ochrophaeus	Allegheny mountain dusky salamander	1280	1280			16					0.6		19.8	485	captivity	tiny	acceptable	0.3					468,485,526,529
00138	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	quadramaculatus	Black-bellied salamander	1280	1280			25					14.34		15	485	captivity	small	acceptable			0.00411	14.1	288	37,468,485,749
00139	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	welteri	Black mountain salamander	1642	1642			26							20	485	captivity	small	acceptable						485,528,749
00140	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Ensatina	eschscholtzii	Ensatina	1278	1278	138		14									unknown	tiny	low						451,749
00141	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	lucifuga	Cave salamander	1095	1095	13		73							9.1	451	captivity	small	acceptable						451,749
00142	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	rathbuni	Texas blind salamander												10.3	451	captivity	small	acceptable						451
00143	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	spelaea	Grotto salamander												9.9	485	captivity	small	acceptable						485
00144	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	wilderae	Blue ridge two-lined salamander	1278	1278			32							8	485	captivity	small	acceptable						485,749
00145	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	palleucus	Tennessee cave salamander												18.5	485	captivity	small	acceptable						485
00146	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	porphyriticus	Spring salamander	1460	1460			61							18.5	485	captivity	small	acceptable						485,528,749
00147	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Hemidactylium	scutatum	Four-toed salamander	912	912			30							8.9	485	captivity	small	acceptable						468,485
00148	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Phaeognathus	hubrichti	Red Hills salamander	2008				9							19.7	485	captivity	small	acceptable						485,749
00149	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus	Eastern red-backed salamander	730	730			8					0.5		25	528	wild	medium	acceptable			0.000099	0.76	278.5	37,468,526,528,529
00150	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	dunni	Dunn's salamander	1095	1095	70		9.4							11	485	captivity	small	acceptable						485,749
00151	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	elongatus	Del Norte salamander					7							13.3	485	captivity	small	acceptable						485,749
00152	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	glutinosus	Northern slimy salamander	910	910			21					4.2		20.1	485	captivity	small	acceptable			0.00191	4.2	288	37,468,485
00153	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	jordani	Red-cheeked salamander	1825	1095										19.8	485	captivity	tiny	acceptable						485,512,528
00154	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	vehiculum	Western red-backed salamander												11.1	485	captivity	small	acceptable						485
00155	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	yonahlossee	Yonahlossee salamander	1095	1095												unknown	tiny	low						451,528
00156	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	montanus	Mud salamander	1643	1095										15.1	485	captivity	small	acceptable						485,749
00157	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	ruber	Red salamander	1825	1460	75		80							20.1	485	captivity	small	acceptable						485,749
00158	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Speleomantes	italicus	Italian cave salamander	1278	1278	304		10							10.6	485	captivity	small	acceptable						485,749
00159	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	maculosus	Mudpuppy	2190	1825	50		68							34		unknown	medium	acceptable						528,539,749
00160	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	punctatus	Dwarf waterdog	1825	1825			30									unknown	tiny	low						451,528,749
00161	Animalia	Chordata	Amphibia	Caudata	Proteidae	Proteus	anguinus	Olm	4124		133		35		4562			17		102	934	wild	medium	acceptable		999				485,749,934
00162	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Calotriton	asper	Pyrenean brook newt												26	525	wild	medium	acceptable						525
00163	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Cynops	ensicauda	Brown newt												17.9	451	captivity	medium	acceptable						451
00164	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Cynops	pyrrhogaster	Japanese firebelly newt	913	913	20		200							25	485	captivity	medium	acceptable						85,485,749,880,1260
00165	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ichthyosaura	alpestris	Laureutis alpine salamander	1460	1095										15	451	captivity	small	acceptable						451,462,525
00166	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	boscai	Bosca's newt					160							8	525	wild	medium	acceptable						525,749
00167	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	vulgaris	Smooth newt	1095	730			180							20	525	captivity	medium	acceptable						525,749
00168	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Notophthalmus	perstriatus	Striped newt	487	487										12.9	485	captivity	large	acceptable						485,749
00169	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Notophthalmus	viridescens	Eastern newt	2000	2000										25	website feedback	captivity	medium	acceptable						233,483,525,528,749
00170	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pachytriton	brevipes	Tsitou newt												6.5	451	captivity	small	acceptable						451
00171	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Paramesotriton	chinensis	Asian newt												10.3	485	captivity	tiny	acceptable						485
00172	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pleurodeles	poireti	Algerian newt												14	451	captivity	small	acceptable						451
00173	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pleurodeles	waltl	Iberian ribbed newt			13		725							19.5	451	captivity	medium	acceptable						451,749
00174	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	atra	Golden alpine salamander												17	525	wild	medium	acceptable						525
00175	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	salamandra	European fire salamander										19.1		24	451	captivity	medium	acceptable			0.00857	19.1	288	37,451
00176	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	granulosa	Rough-skinned newt	1278	1278	23							12.32				unknown	small	low			0.00518	12.2	288	37,451,749
00177	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	rivularis	Red-bellied newt	1825	1825	18		10									unknown	tiny	low						485,749
00178	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	torosa	California newt	1095	1095	45		122			0.45				21.8	451	captivity	small	acceptable						451,749
00179	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	carnifex	Italian crested newt												11	525	wild	medium	acceptable						525
