model,submodel,quality,type,stop,diagnosis,fix-scrapping
1000,0.02,4,B,11822,11940,0
1000,0.02,3,B,3524,3749,1
1000,0.02,3,A,351,549,0
1000,0.02,3,A,1030,1228,0
1000,0.02,2,B,158,468,0
1000,0.02,2,B,138,647,1
1000,0.02,0,B,162,1745,0
1000,0.02,2,A,740,1052,0
1000,0.02,0,A,769,1929,0
1000,0.02,2,B,149,590,0
1000,0.02,4,A,6415,6550,0
1000,0.02,3,B,3441,3676,0
1000,0.02,2,B,3366,3815,1
1000,0.02,3,B,5404,5512,0
1000,0.02,2,B,911,1266,0
1000,0.02,4,B,6932,7036,0
1000,0.02,5,B,9777,9805,1
1000,0.02,3,B,6637,6893,1
1000,0.02,3,B,872,1131,0
1000,0.02,4,B,6268,6320,0
1000,0.02,2,B,804,1274,1
1000,0.02,4,A,344,477,1
1000,0.02,0,A,224,1962,0
1000,0.02,4,B,14033,14122,0
1000,0.02,3,A,232,411,1
1000,0.02,1,A,809,1544,0
1000,0.02,0,B,453,1951,0
1000,0.02,0,B,831,1851,0
1000,0.02,3,A,1173,1430,0
1000,0.02,1,A,746,1608,0
1000,0.02,5,B,1098,1139,1
1000,0.02,4,A,167,314,0
1000,0.02,2,B,5528,5832,0
1000,0.02,5,A,39820,39876,1
1000,0.02,1,B,544,1498,0
1000,0.02,1,A,205,1162,0
1000,0.02,3,B,1247,1431,0
1000,0.02,5,A,747,774,1
1000,0.02,1,B,1991,2496,0
1000,0.02,4,A,9799,9926,0
1000,0.02,3,A,215,652,0
1000,0.02,0,B,308,1774,0
1000,0.02,3,B,1563,1754,0
1000,0.02,0,A,667,1818,0
1000,0.02,0,B,208,1345,1
1000,0.02,2,A,151,645,0
1000,0.02,1,B,5163,5973,1
1000,0.02,0,B,38,1134,0
1000,0.02,1,B,197,890,0
1000,0.02,1,A,2748,3584,0
1000,0.02,2,A,2529,2814,0
1000,0.02,2,A,2627,3320,0
1000,0.02,1,A,573,1261,0
1000,0.02,4,A,4508,4561,0
1000,0.02,1,A,69,847,0
1000,0.02,5,B,13451,13503,1
1000,0.02,0,B,628,1336,0
1000,0.02,0,A,158,1054,0
1000,0.02,1,B,397,1232,0
1000,0.02,2,B,3092,3406,1
1000,0.02,4,B,3445,3533,0
1000,0.02,3,A,2379,2809,0
1000,0.02,0,A,41,1597,0
1000,0.02,1,B,352,1161,0
1000,0.02,0,A,1692,2731,0
1000,0.02,0,A,310,1674,0
1000,0.02,4,A,7110,7182,0
1000,0.02,2,A,639,980,0
1000,0.02,1,A,314,1232,0
1000,0.02,5,A,13803,13854,0
1000,0.02,1,B,247,706,0
1000,0.02,5,A,12278,12340,0
1000,0.02,0,A,610,1584,0
1000,0.02,0,B,1091,2267,0
1000,0.02,3,A,4540,4766,1
1000,0.02,3,A,3003,3413,0
1000,0.02,0,B,1496,3022,0
1000,0.02,1,A,430,1019,0
1000,0.02,5,A,4201,4232,1
1000,0.02,0,A,221,2001,1
1000,0.02,2,A,732,1176,0
1000,0.02,1,B,495,1332,0
1000,0.02,1,B,993,1613,0
1000,0.02,1,B,1690,2248,0
1000,0.02,5,A,12257,12321,0
1000,0.02,0,B,143,1312,0
1000,0.02,5,B,10223,10254,0
1000,0.02,5,B,6203,6249,1
1000,0.02,2,A,1125,1580,0
1000,0.02,4,B,3249,3316,0
1000,0.02,1,A,1953,3030,1
1000,0.02,4,B,2974,3092,0
1000,0.02,3,A,2367,2537,1
1000,0.02,0,A,1062,1802,0
1000,0.02,0,B,335,2018,1
1000,0.02,3,A,7295,7641,0
1000,0.02,1,B,559,1035,0
1000,0.02,1,A,228,629,0
1000,0.02,0,B,188,886,0
1000,0.02,5,A,1499,1540,0
1000,0.02,0,B,126,796,0
1000,0.02,1,A,981,1706,1
1000,0.02,3,A,932,1193,0
1000,0.02,0,A,144,1812,0
1000,0.02,0,A,1302,3038,0
1000,0.02,2,A,375,856,0
1000,0.02,0,A,5,948,0
1000,0.02,2,B,1944,2452,0
1000,0.02,2,A,3067,3340,0
1000,0.02,3,A,6598,6890,0
1000,0.02,1,A,88,700,0
1000,0.02,3,B,638,910,1
1000,0.02,2,A,287,845,0
1000,0.02,0,B,56,1421,0
1000,0.02,4,A,1680,1774,0
1000,0.02,3,A,716,968,0
1000,0.02,5,B,12158,12220,1
1000,0.02,2,B,3742,4033,1
1000,0.02,1,B,1260,1735,0
1000,0.02,2,A,726,1197,0
1000,0.02,1,B,281,1248,1
1000,0.02,4,B,3411,3523,0
1000,0.02,4,B,3222,3298,0
1000,0.02,3,A,1335,1539,0
1000,0.02,5,B,7476,7546,0
1000,0.02,3,B,2185,2388,0
1000,0.02,4,A,3081,3217,0
1000,0.02,0,A,292,1432,0
1000,0.02,2,A,1209,1557,0
1000,0.02,0,B,544,2100,0
1000,0.02,2,A,859,1329,0
1000,0.02,2,B,2317,2622,0
1000,0.02,1,B,1423,2256,0
1000,0.02,3,B,67,244,0
1000,0.02,2,A,1887,2410,0
1000,0.02,3,B,3208,3458,1
1000,0.02,4,B,11849,11956,0
1000,0.02,3,B,8475,8774,0
1000,0.02,5,A,2648,2690,0
1000,0.02,2,A,617,891,0
1000,0.02,3,B,5846,5995,0
1000,0.02,2,B,428,709,0
1000,0.02,0,B,35,787,0
1000,0.02,3,A,687,858,0
1000,0.02,0,B,65,1191,0
1000,0.02,1,B,1178,1666,0
1000,0.02,2,A,1387,1673,0
1000,0.02,3,A,1276,1686,0
1000,0.02,2,B,1089,1626,0
1000,0.02,5,B,11418,11473,1
1000,0.02,2,A,180,882,0
1000,0.02,3,B,4574,4752,0
1000,0.02,3,B,8085,8185,1
1000,0.02,5,B,2446,2507,0
1000,0.02,5,A,2042,2080,0
1000,0.02,3,A,631,787,0
1000,0.02,2,A,1341,1747,0
1000,0.02,1,A,493,991,0
1000,0.02,3,A,2384,2662,0
1000,0.02,5,A,9148,9178,1
1000,0.02,0,A,2386,3567,0
1000,0.02,3,A,2540,2787,1
1000,0.02,4,A,9099,9163,0
1000,0.02,4,B,4599,4710,1
1000,0.02,3,B,2100,2250,0
1000,0.02,2,A,1409,1799,0
1000,0.02,2,B,580,1176,0
1000,0.02,1,A,1486,2003,0
1000,0.02,0,A,158,1551,0
1000,0.02,5,B,12232,12274,1
1000,0.02,2,B,612,916,1
1000,0.02,5,B,21109,21152,1
1000,0.02,2,B,1330,1883,0
1000,0.02,1,A,737,1888,1
1000,0.02,2,B,1187,1745,0
1000,0.02,1,A,429,936,0
1000,0.02,3,A,4410,4852,0
1000,0.02,4,B,4309,4389,1
1000,0.02,5,A,7421,7461,0
1000,0.02,4,A,8944,9033,0
1000,0.02,0,A,88,820,0
1000,0.02,5,B,233,307,0
1000,0.02,5,A,8710,8753,1
1000,0.02,3,B,2474,2736,0
1000,0.02,2,B,3745,4023,0
1000,0.02,4,B,1137,1194,0
1000,0.02,1,B,1740,2125,1
1000,0.02,4,B,19033,19148,0
1000,0.02,0,A,510,1577,0
1000,0.02,2,A,25,489,0
1000,0.02,4,A,26597,26699,0
1000,0.02,5,A,1226,1300,1
1000,0.02,5,A,136,163,1
1000,0.02,5,B,3598,3625,1
1000,0.02,3,A,2222,2525,0
1000,0.02,0,A,173,822,1
1000,0.02,3,B,1814,1963,1
1000,0.02,0,B,598,1418,0
1000,0.02,2,A,207,496,0
1000,0.02,4,A,3405,3552,0
1000,0.02,2,A,1,269,0
1000,0.02,4,B,4958,5074,0
1000,0.02,3,B,11500,11735,0
1000,0.02,5,A,4067,4138,1
1000,0.02,5,A,5775,5813,1
1000,0.02,5,B,10336,10373,1
1000,0.02,5,A,7728,7769,1
1000,0.02,0,A,104,1677,0
1000,0.02,0,B,45,1425,0
1000,0.02,4,A,6171,6237,0
1000,0.02,3,A,4740,5077,1
1000,0.02,5,B,3070,3097,1
1000,0.02,1,A,1234,2048,0
1000,0.02,0,B,2085,3529,0
1000,0.02,3,B,182,337,0
1000,0.02,5,B,2412,2486,0
1000,0.02,3,A,4283,4707,0
1000,0.02,2,A,2737,3172,0
1000,0.02,1,A,2087,2541,0
1000,0.02,4,B,3458,3506,0
1000,0.02,1,A,951,2121,0
1000,0.02,1,B,2735,3254,0
1000,0.02,2,B,186,576,0
1000,0.02,5,B,1722,1787,1
1000,0.02,3,B,2744,2853,0
1000,0.02,2,A,144,414,0
1000,0.02,4,A,1924,1978,0
1000,0.02,2,B,1431,1943,0
1000,0.02,0,B,238,952,0
1000,0.02,4,B,10367,10458,1
1000,0.02,5,B,1016,1069,1
1000,0.02,3,B,538,801,1
1000,0.02,3,B,15969,16164,0
1000,0.02,2,A,694,1355,0
1000,0.02,1,B,1052,1955,1
1000,0.02,3,B,1422,1673,0
1000,0.02,5,A,6068,6137,1
1000,0.02,3,B,194,483,1
1000,0.02,2,A,380,804,0
1000,0.02,0,B,54,1526,0
1000,0.02,4,A,3777,3856,1
1000,0.02,4,A,4761,4890,0
1000,0.02,4,B,7713,7800,0
1000,0.02,1,A,336,814,0
1000,0.02,5,A,6913,6974,1
1000,0.02,1,A,51,993,0
1000,0.02,0,B,139,1905,1
1000,0.02,2,B,2064,2509,0
1000,0.02,3,A,2011,2299,0
1000,0.02,4,A,3901,3954,0
1000,0.02,1,A,24,1208,1
1000,0.02,5,A,4005,4050,0
1000,0.02,1,A,263,1403,0
1000,0.02,5,B,4265,4303,0
1000,0.02,4,B,17156,17223,0
1000,0.02,1,B,419,837,0
1000,0.02,5,B,1109,1156,1
1000,0.02,1,A,303,1362,0
1000,0.02,2,B,532,949,0
1000,0.02,5,A,10943,10989,1
1000,0.02,1,B,3138,3505,0
1000,0.02,0,B,128,819,0
1000,0.02,3,B,568,726,0
1000,0.02,1,A,2100,3084,0
1000,0.02,4,B,3363,3416,0
1000,0.02,4,B,1540,1644,0
1000,0.02,4,B,10245,10303,1
1000,0.02,0,A,841,1551,0
1000,0.02,2,A,1189,1617,0
1000,0.02,5,B,4077,4137,0
1000,0.02,2,A,3713,3952,0
1000,0.02,4,B,16367,16477,0
1000,0.02,2,A,1858,2210,0
1000,0.02,5,B,4160,4224,0
1000,0.02,1,A,556,1160,0
1000,0.02,2,B,2374,2594,0
1000,0.02,5,A,54621,54671,1
1000,0.02,2,A,275,511,0
1000,0.02,4,B,6709,6754,0
1000,0.02,2,A,579,984,0
1000,0.02,4,B,25869,25935,1
1000,0.02,1,B,158,539,0
1000,0.02,2,A,129,618,0
1000,0.02,3,A,931,1229,0
1000,0.02,3,B,8774,8967,1
1000,0.02,0,B,167,1578,0
1000,0.02,0,A,1306,2960,0
1000,0.02,1,A,1483,2573,0
1000,0.02,1,A,1551,2418,0
1000,0.02,3,B,3566,3719,0
1000,0.02,1,A,1867,2602,0
1000,0.02,1,B,2634,3112,0
1000,0.02,1,A,323,1077,0
1000,0.02,4,B,1230,1291,0
1000,0.02,3,A,289,601,1
1000,0.02,3,B,1819,1944,0
1000,0.02,5,A,1907,1962,1
1000,0.02,3,B,3102,3209,0
1000,0.02,0,B,1283,2910,0
1000,0.02,0,A,91,738,0
1000,0.02,0,B,390,1633,0
1000,0.02,5,A,984,1048,0
1000,0.02,4,B,3811,3878,0
1000,0.02,1,A,171,810,0
1000,0.02,1,B,261,682,0
1000,0.02,0,B,107,1097,0
1000,0.02,5,B,565,597,1
1000,0.02,4,B,6739,6849,1
1000,0.02,3,B,4467,4623,1
1000,0.02,1,B,257,1246,0
1000,0.02,3,B,7993,8184,0
1000,0.02,4,A,7338,7445,0
1000,0.02,5,A,2989,3025,0
1000,0.02,5,A,10931,11000,0
1000,0.02,0,B,329,1059,0
1000,0.02,4,B,9008,9066,1
1000,0.02,3,A,1357,1723,0
1000,0.02,5,B,538,610,0
1000,0.02,3,B,8452,8584,0
1000,0.02,0,B,657,1680,0
1000,0.02,3,A,4933,5090,1
1000,0.02,4,A,15106,15246,0
1000,0.02,5,A,12545,12607,1
1000,0.02,4,A,2663,2728,0
1000,0.02,0,B,962,1939,1
1000,0.02,4,B,4596,4639,1
1000,0.02,2,B,702,1214,0
1000,0.02,1,A,167,788,0
1000,0.02,5,A,12824,12873,0
1000,0.02,5,B,29211,29273,1
1000,0.02,5,B,528,564,0
1000,0.02,5,B,10543,10586,1
1000,0.02,1,A,677,1697,0
1000,0.02,5,B,2261,2290,1
1000,0.02,0,B,284,1897,0
1000,0.02,5,A,3895,3947,0
1000,0.02,4,A,2940,3018,0
1000,0.02,4,B,2857,2921,1
1000,0.02,1,B,11,1033,0
1000,0.02,4,B,10216,10298,0
1000,0.02,2,B,1758,2018,0
1000,0.02,3,A,5248,5521,0
1000,0.02,4,A,5391,5480,0
1000,0.02,2,B,3554,3958,0
1000,0.02,2,A,3986,4690,0
1000,0.02,2,A,855,1535,0
1000,0.02,5,A,7884,7911,0
1000,0.02,2,A,219,553,0
1000,0.02,4,A,3370,3471,0
1000,0.02,0,B,592,1257,0
1000,0.02,5,A,15469,15539,1
1000,0.02,0,B,1123,2721,0
1000,0.02,1,A,207,1256,0
1000,0.02,4,A,1912,2048,0
1000,0.02,5,A,15062,15109,0
1000,0.02,5,A,42471,42542,1
1000,0.02,2,B,126,396,0
1000,0.02,0,B,1307,2318,0
1000,0.02,2,A,1438,1774,0
1000,0.02,1,B,93,812,0
1000,0.02,0,A,899,2519,0
1000,0.02,4,B,11668,11709,0
1000,0.02,4,B,171,218,0
1000,0.02,3,B,16966,17193,0
1000,0.02,5,A,4361,4393,1
1000,0.02,2,A,28,576,0
1000,0.02,0,A,704,1453,0
1000,0.02,4,B,4938,5048,0
1000,0.02,4,A,1140,1251,0
1000,0.02,1,B,177,1206,0
1000,0.02,3,B,842,960,0
1000,0.02,1,B,2085,2574,0
1000,0.02,4,B,3382,3499,1
1000,0.02,0,A,1232,2000,0
1000,0.02,2,B,58,445,0
1000,0.02,2,A,1506,1914,0
1000,0.02,1,A,851,1379,0
1000,0.02,4,A,2244,2309,0
1000,0.02,2,B,3473,4033,0
1000,0.02,1,B,385,1303,0
1000,0.02,0,A,462,1796,0
1000,0.02,4,A,4069,4156,0
1000,0.02,3,A,6285,6633,1
1000,0.02,4,A,4908,5048,0
1000,0.02,1,B,1257,2198,0
1000,0.02,1,B,1556,2488,0
1000,0.02,5,A,2799,2826,1
1000,0.02,0,A,120,1693,0
1000,0.02,1,A,806,1645,0
1000,0.02,4,B,844,936,0
1000,0.02,1,A,2133,3215,0
1000,0.02,5,B,9557,9591,0
1000,0.02,0,B,1819,3550,0
1000,0.02,2,A,980,1468,0
1000,0.02,2,B,4865,5221,0
1000,0.02,3,B,7803,7983,0
1000,0.02,2,A,53,734,0
1000,0.02,1,B,2921,3901,0
1000,0.02,1,A,548,997,0
1000,0.02,4,A,3213,3304,1
1000,0.02,1,B,673,1087,0
1000,0.02,0,B,292,1971,0
1000,0.02,0,A,1700,3134,1
1000,0.02,1,A,157,1354,0
1000,0.02,0,B,690,2173,0
1000,0.02,1,A,4,888,0
1000,0.02,5,A,12031,12082,0
1000,0.02,3,B,1936,2203,0
1000,0.02,1,A,2202,3307,0
1000,0.02,4,B,2165,2251,1
1000,0.02,4,A,3108,3250,0
1000,0.02,4,A,6842,6932,0
1000,0.02,3,B,2561,2752,0
1000,0.02,1,A,167,741,0
1000,0.02,0,A,814,1598,0
1000,0.02,3,B,4514,4623,1
1000,0.02,0,A,863,1984,1
1000,0.02,4,B,13137,13194,1
1000,0.02,1,A,23,1153,0
1000,0.02,5,B,4518,4560,0
1000,0.02,0,A,1317,2164,0
1000,0.02,0,B,132,1745,0
1000,0.02,4,A,1257,1312,0
1000,0.02,4,A,15360,15481,0
1000,0.02,3,B,3167,3310,0
1000,0.02,4,A,5238,5362,0
1000,0.02,3,B,8008,8139,0
1000,0.02,0,A,2027,3626,0
1000,0.02,5,B,19423,19455,1
1000,0.02,3,B,8282,8459,0
1000,0.02,5,A,42415,42441,1
1000,0.02,2,A,460,1065,0
1000,0.02,3,A,1644,2019,1
1000,0.02,1,A,224,712,0
1000,0.02,4,B,3245,3336,1
1000,0.02,2,B,2145,2479,0
1000,0.02,2,A,171,728,0
1000,0.02,2,B,7453,7806,0
1000,0.02,1,B,684,1471,0
1000,0.02,2,A,4072,4307,0
1000,0.02,1,A,625,1429,0
1000,0.02,0,A,269,1786,0
1000,0.02,2,B,1133,1481,0
1000,0.02,3,B,3680,3808,0
1000,0.02,4,B,8438,8488,0
1000,0.02,1,B,1043,2008,0
1000,0.02,1,B,798,1789,0
1000,0.02,2,B,3640,3949,1
1000,0.02,1,A,715,1249,0
1000,0.02,1,B,312,1186,0
1000,0.02,2,A,104,562,0
1000,0.02,0,A,385,1929,0
1000,0.02,2,B,329,724,0
1000,0.02,3,B,959,1106,0
1000,0.02,0,B,173,936,0
1000,0.02,1,B,172,1119,0
1000,0.02,3,A,666,962,0
1000,0.02,0,B,228,1017,0
1000,0.02,2,B,1699,1984,1
1000,0.02,5,A,12195,12238,0
1000,0.02,2,B,1530,1800,1
1000,0.02,0,A,84,1517,0
1000,0.02,3,B,3621,3765,0
1000,0.02,3,B,1074,1367,0
1000,0.02,4,A,4870,4962,0
1000,0.02,2,A,418,817,0
1000,0.02,5,B,20609,20674,1
1000,0.02,2,A,15,700,0
1000,0.02,5,B,52890,52942,0
1000,0.02,4,A,933,1048,0
1000,0.02,1,B,2123,2883,1
1000,0.02,0,A,32,1041,0
1000,0.02,4,A,8360,8453,0
1000,0.02,2,B,1013,1371,1
1000,0.02,2,B,932,1297,0
1000,0.02,1,A,2044,2647,0
1000,0.02,5,B,11901,11946,0
1000,0.02,5,B,9333,9404,0
1000,0.02,3,B,408,514,0
1000,0.02,0,A,25,674,0
1000,0.02,1,B,328,748,0
1000,0.02,1,B,1687,2290,0
1000,0.02,1,A,950,1857,1
1000,0.02,1,B,2587,3227,0
1000,0.02,5,B,13093,13124,0
1000,0.02,4,B,1780,1842,1
1000,0.02,4,A,5852,5961,1
1000,0.02,3,B,1578,1874,0
1000,0.02,2,A,368,870,0
1000,0.02,0,B,390,1347,0
1000,0.02,4,A,8626,8743,0
1000,0.02,4,A,5667,5764,0
1000,0.02,5,B,737,785,0
1000,0.02,2,B,2297,2538,0
1000,0.02,3,A,528,959,0
1000,0.02,1,B,701,1364,0
1000,0.02,2,B,1471,1985,0
1000,0.02,2,A,21,625,0
1000,0.02,1,B,2599,3421,0
1000,0.02,0,B,20,1066,0
1000,0.02,1,B,3727,4672,1
1000,0.02,4,A,17215,17347,0
1000,0.02,4,A,308,367,1
1000,0.02,4,A,8053,8123,0
1000,0.02,3,A,2513,2760,0
1000,0.02,1,A,123,1268,0
1000,0.02,4,B,2929,3036,0
1000,0.02,2,A,480,974,0
1000,0.02,0,B,79,1099,0
1000,0.02,0,A,169,1387,0
1000,0.02,0,B,455,1463,0
1000,0.02,5,B,4385,4443,1
1000,0.02,1,B,2091,2550,0
1000,0.02,5,B,20838,20902,0
1000,0.02,3,B,12721,12966,1
1000,0.02,4,A,6635,6728,0
1000,0.02,3,B,5113,5384,0
1000,0.02,1,B,874,1568,0
1000,0.02,2,B,4007,4369,1
1000,0.02,3,A,4583,4903,1
1000,0.02,1,A,142,820,0
1000,0.02,3,B,558,759,0
1000,0.02,3,B,3723,3871,0
1000,0.02,3,A,223,463,0
1000,0.02,5,B,12793,12854,1
1000,0.02,4,A,2233,2378,0
1000,0.02,4,A,770,900,0
1000,0.02,3,A,449,758,0
1000,0.02,2,B,2884,3208,0
1000,0.02,1,B,1461,2232,0
1000,0.02,4,A,2709,2839,0
1000,0.02,0,B,246,1063,0
1000,0.02,2,B,385,898,0
1000,0.02,3,A,1613,1767,0
1000,0.02,0,A,138,1572,0
1000,0.02,1,B,907,1264,0
1000,0.02,4,A,2061,2205,0
1000,0.02,1,B,1611,2175,1
1000,0.02,0,A,45,1756,0
1000,0.02,3,A,748,1050,0
1000,0.02,5,A,5289,5320,0
1000,0.02,5,B,9939,10005,1
1000,0.02,5,B,12444,12506,0
1000,0.02,1,B,1462,1920,0
1000,0.02,3,A,2370,2677,0
1000,0.02,5,B,2367,2434,1
1000,0.02,5,B,3129,3157,1
1000,0.02,2,B,3128,3655,0
1000,0.02,0,A,18,1743,0
1000,0.02,5,B,22430,22493,1
1000,0.02,3,A,4911,5244,1
1000,0.02,3,B,4384,4503,0
1000,0.02,0,B,207,1542,0
1000,0.02,4,A,361,436,0
1000,0.02,0,A,280,1124,0
1000,0.02,1,B,952,1823,0
1000,0.02,4,A,8147,8228,1
1000,0.02,4,B,319,377,0
1000,0.02,4,A,4023,4113,0
1000,0.02,4,B,1007,1119,0
1000,0.02,4,B,19103,19192,0
1000,0.02,4,A,2055,2155,0
1000,0.02,4,B,6598,6649,0
1000,0.02,4,B,17824,17907,0
1000,0.02,5,B,19499,19553,1
1000,0.02,2,B,5926,6362,0
1000,0.02,5,B,2645,2679,1
1000,0.02,4,B,15681,15754,0
1000,0.02,5,A,6485,6555,1
1000,0.02,0,A,95,1392,0
1000,0.02,1,A,127,1090,0
1000,0.02,3,A,1739,1980,0
1000,0.02,3,B,4426,4567,0
1000,0.02,0,A,23,1361,0
1000,0.02,5,A,2321,2363,0
1000,0.02,3,A,161,550,0
1000,0.02,4,B,2418,2517,1
1000,0.02,5,B,223,270,1
1000,0.02,4,B,201,247,0
1000,0.02,4,B,7544,7627,1
1000,0.02,3,A,1852,2146,1
1000,0.02,4,B,3194,3242,0
1000,0.02,2,B,1215,1693,0
1000,0.02,3,A,3304,3614,0
1000,0.02,1,A,653,1154,0
1000,0.02,3,A,809,1092,0
1000,0.02,1,A,139,1252,0
1000,0.02,0,A,963,1768,1
1000,0.02,1,A,1990,2645,1
1000,0.02,0,B,268,1877,0
1000,0.02,5,B,49363,49396,1
1000,0.02,0,B,195,1469,0
1000,0.02,3,B,6110,6315,1
1000,0.02,2,A,3394,3883,0
1000,0.02,1,A,385,1170,0
1000,0.02,4,B,2123,2234,0
1000,0.02,2,B,796,1318,1
1000,0.02,4,B,345,433,0
1000,0.02,1,A,1437,2174,0
1000,0.02,2,A,1081,1596,0
1000,0.02,0,B,6,1358,0
1000,0.02,2,A,2783,3142,0
1000,0.02,5,B,12350,12418,0
1000,0.02,0,B,959,2264,0
1000,0.02,2,B,915,1140,0
1000,0.02,5,B,659,694,1
1000,0.02,0,B,246,1371,0
1000,0.02,4,A,7591,7705,0
1000,0.02,5,A,11894,11940,0
1000,0.02,3,B,3508,3684,0
1000,0.02,4,B,9718,9835,0
1000,0.02,5,A,7641,7683,1
1000,0.02,3,B,3815,3934,1
1000,0.02,0,A,293,1270,0
1000,0.02,0,B,325,1414,0
1000,0.02,1,B,1221,1978,0
1000,0.02,1,B,944,1906,0
1000,0.02,1,B,1114,1534,0
1000,0.02,4,A,4288,4393,0
1000,0.02,0,B,634,1652,0
1000,0.02,4,A,1786,1839,0
1000,0.02,1,B,290,814,1
1000,0.02,2,B,13208,13498,0
1000,0.02,3,B,9714,9915,0
1000,0.02,1,A,609,1095,0
1000,0.02,0,B,1319,2552,0
1000,0.02,1,B,400,753,0
1000,0.02,0,A,42,1299,0
1000,0.02,1,B,2698,3368,0
1000,0.02,4,B,783,855,0
1000,0.02,2,B,157,710,1
1000,0.02,1,A,291,857,0
1000,0.02,0,A,2976,3666,0
1000,0.02,0,A,318,1329,0
1000,0.02,4,A,33604,33686,0
1000,0.02,1,A,251,957,0
1000,0.02,0,A,831,1531,0
1000,0.02,4,B,2969,3057,0
1000,0.02,5,A,666,708,0
1000,0.02,4,A,4728,4828,0
1000,0.02,5,A,24680,24749,1
1000,0.02,1,B,309,874,0
1000,0.02,5,A,4354,4419,0
1000,0.02,2,A,3855,4495,0
1000,0.02,2,A,740,1219,0
1000,0.02,1,A,9,568,0
1000,0.02,0,B,494,2198,0
1000,0.02,3,A,3097,3466,0
1000,0.02,3,A,5448,5889,0
1000,0.02,4,B,19348,19431,0
1000,0.02,3,B,12247,12386,1
1000,0.02,4,B,1236,1355,0
1000,0.02,3,B,7996,8214,0
1000,0.02,1,B,2605,3308,0
1000,0.02,5,A,17968,17998,1
1000,0.02,3,B,5508,5792,0
1000,0.02,1,A,969,2049,0
1000,0.02,3,A,6045,6437,0
1000,0.02,1,B,632,1496,0
1000,0.02,2,B,1059,1487,0
1000,0.02,1,A,946,1463,0
1000,0.02,5,A,453,494,1
1000,0.02,2,B,1121,1566,0
1000,0.02,5,B,6976,7029,0
1000,0.02,4,B,2526,2643,1
1000,0.02,5,A,10177,10249,0
1000,0.02,2,B,504,1058,1
1000,0.02,2,A,1839,2185,0
1000,0.02,3,B,7022,7320,0
1000,0.02,3,A,2629,2871,0
1000,0.02,0,A,113,975,0
1000,0.02,3,A,440,676,0
1000,0.02,1,A,258,1125,0
1000,0.02,1,A,1054,2198,0
1000,0.02,3,A,688,976,1
1000,0.02,1,B,1474,2150,0
1000,0.02,5,B,3081,3120,0
1000,0.02,3,A,4306,4744,0
1000,0.02,2,A,383,891,0
1000,0.02,3,B,501,742,0
1000,0.02,3,A,1414,1799,0
1000,0.02,4,B,2341,2381,0
1000,0.02,3,B,7404,7646,0
